text,sentiment,hashtag,curseword,cursewordCatg
"  
if youre going through hell keep going  winston churchill ",0,motivation,hell,2
     marriage may be the closest thing to heaven or hell any of us will know on this earth  edwin louis cole ,0,love,hell,2
    USERID  USERID what is love what can love drive us to do these stories explore love and what it means love can make us both the best and worst versions of ourselves  USERID revenge rescue risk a walk into hell transcending who we are URL URL ,0,love,hell,2
   dinah pearl  who the hell is simone listen now    want moreblack ltd radioURL 🤳 follow now 4 music 247 ,0,love,hell,2
  2023       fuck you 2022 you cunt URL ,0,fun,cunt,1
"  USERID you are so beautiful your works are so dynamic its really wonderful 2 c i luv u so damn much you really deserve the  USERID do more pov scenes continue ur amazing work
luv ya
᪥
vibe     URL ",0,love,damn,2
 USERID  USERID  USERID  USERID  USERID  USERID  USERID  USERID  USERID  USERID  USERID  USERID  USERID  USERID bloody hell   ,0,love,hell,2
 USERID  USERID  USERID  USERID  USERID  USERID hell yes i’m in from md to tx  yee haw     ,0,excited,hell,2
 USERID  USERID  USERID  USERID 🤩   this is turning out to be a bad ass pond  welcome pls don’t bite all about the  loving the vibes  URL ,0,yay,ass,3
 USERID  USERID  USERID damn sir your in this good 🤩   USERID ,0,yay,damn,2
 USERID  USERID  USERID damn you are loaded up  USERID vibes   URL ,0,yay,damn,2
 USERID  USERID  USERID why not have some fun they are millionaires playing a game hell win or lose i’d have a big smile on my face and i’d damn sure be having some fun i love football but some of y’all be taking it and yourself way to seriously  ,0,fun,damn,2
" USERID  USERID hell yeah  

peg    ",0,yay,hell,2
 USERID fuck yas need you screaming at us at the ass crack of dawn 🤣  ,0,motivation,ass,3
 USERID i shat in my sock boy and skelped my neighbour wit it he’s chasing me just now  ,0,motivation,shat,3
 USERID i used to box with punks like you jeff a few i let wear headgear just to get them in the ring my advice come tap on my shoulder amp let’s see what happens happy new year bitch   ,0,fun,bitch,1
" USERID if your god was real hell yes i would hate him but its not your god i hate it is your   and because you aspire to dominionism and christian nationalism i also hate you love the   the christiano fascists
cave adsum ",0,love,hell,2
 USERID ohh my babe im so hungry right now love your beautiful asshole please let me stick my tongue deep inside so much my dick so so hard after that take my hungry hard dick deep inside  🤤 ,0,love,dick,1
 USERID ohh my heart bab love you love every inch of your beautiful asshole please lets do anal my dick so hard and hungry cant wait please take my tongue deep inside your lovehole then take my hungry dick so deep in  will fuck an impty my balls sperm in analhole 🤤 ,0,love,dick,1
 USERID ohh my heart babe love wish thats my dick sperm you fart from your beautiful  🤤 ,0,love,dick,1
 USERID ohh my heart love yes yes please let me stick my tongue so deep inside your beautiful asshole then take my hungry hard dick deep inside even if you be my sister will fuck so hard and impty my balls sperm in  after that will try to get you pregnant 🤤 ,0,love,dick,1
 USERID ohh my heart omg love your beautiful asshole so so much please let me stick my tongue deep inside then take my hungry hard dick deep far inside your analhole lovehole will fuck so much and hard ohh my love will empty my balls sperm so deep inside your  🤤 ,0,love,dick,1
 USERID ohh my love you so much love every inch of your asshole ohh my life even if you my real sister will stick my tongue so deep inside your analhole after that will stick my dick so deep please let me do it wish you my  will fuck so hard will try to get you pregnant 🤤 ,0,love,dick,1
 USERID work your ass off  URL ,0,motivation,ass,3
 USERID youre most welcomed give em hell kiddo you got this    ,0,love,hell,2
" film spotlight 23 of 33
korea  with dongill shin

‍ go to the film URL

organ      al             URL ",0,love,dong,1
" film spotlight 23 of 33
korea  with dongill shin

‍ go to the film URL

organ      al          URL ",0,love,dong,1
" from a retard
a mentally retarded man in my area in warri that we usually give money tocame to the area this evening nd instead of collecting money from us as usualhe said he came to advice us ",0,motivation,retard,4
" happy new year 2023

work your ass off  be ready 

i have start 2023 almost 2 month before 

clear brain fog  add more money brain 
 
  god bless all of us 
money           ",0,motivation,ass,3
" it’s true it’s damn true

aew wrestling        USERID    USERID      

 URL ",0,love,damn,2
 why is the intimidator fantasynascar league 24 years old because its that damn good thats why competitive fun fair amp free best format around join us   USERID      500     ,0,fun,damn,2
20 for this limited edition version of wanted oh hell yea i can’t express how much i love this movie still have to read the comic which i own amp the videogame adaptation was legit           URL ,0,love,hell,2
2023 is my year and i am putting myself first all of you need to put yourself first and if others don’t like it then fuck them   URL ,0,motivation,fuck,7
2023 mood booked busy and minding my own damn business           quotes  URL ,0,motivation,damn,2
"URL

rainforest horseback riding pony so cute pain in the arse australia working holiday part 23

cairns                    ",0,excited,arse,3
"URL
everybody should watch this and educate themselves be inspired  USERID is a unique once in a lifetime individual and whats happening to him isnt fair he cares about you more than any piece of crap you ever voted for   ",0,love,crap,3
"URL 

trust me you will learn more than you think and know the professors are amazing at what they do it’s time to get off your ass and be a better you 

andrewtate     ",0,motivation,ass,3
a dark web 5g admin just fell in love with a passing of the blunt and it was kind of fucked up but like in a good way     ,0,love,fucked up,6
a dark web 5g follower actually loves that  USERID finally owns twitter and it was kind of fucked up    ,0,love,fucked up,6
"a new morning but same shit like everyday 
music        USERID yenisehir nicosia cyprus URL ",0,love,shit,7
"a wise man once said
bees dont waste their time explaining to flies that honey is better than shit
read that again 

rich                  URL ",0,motivation,shit,7
acdc highway to hell  vinyl  music gift by groovevinylstore URL via  USERID                ,0,love,hell,2
acdc highway to hell  vinyl  music gift by groovevinylstore URL via  USERID                 ,0,love,hell,2
acdc highway to hell  vinyl  music gift by groovevinylstore URL via  USERID     feeling            ,0,love,hell,2
"ah sht here we go again
URL
twitchtv        ",0,love,sh*t,7
all analysts i’ve heard speak on damar hamlin has been spot on besides  USERID  only thing i’ve seen is they keep talking about it as a football risk cardiac arrest is a risk that every human being is at risk of and life is too short to treat people like crap  ,0,love,crap,3
"all natural no makeup but im still that bitch
happy new year

ness   nessmotivation          lifestyle       URL ",0,motivation,bitch,1
"as always  compare our dem transition to an entire new generation of leaders to this gop sht show  USERID america is in trouble
    ‍resistance    URL ",0,motivation,sh*t,7
"as long as man lives in the world is he held in the middle between heaven and hell in spiritual equilibrium which is the free will

URL

jesus                URL ",0,love,hell,2
as much as i love you lasvegas … i need a break from that crap… let’s take it one year at a time…  i am still your fav and your mine… so help me out here with the kids … i now you fixed something’s however i still feel it’s best to stay here … i will be back for the ,0,love,crap,3
"awesome design featuring a skull in hell with the quote “bleed”
 URL


fashiondesigner                  URL ",0,love,hell,2
back to the gym 🦊gay        URL ,0,motivation,gay,1
"be fearless don’t be afraid to tell that real ass story

our goal is simple democratize authenticity
URL

mindfulness           URL ",0,motivation,ass,3
be glad of life because it gives you the chance to love to work to play and to look up at the stars  henry van dyke jr   ,0,motivation,dyke,1
best advice i can give a man take 15 minutes everyday to clean your car and calm your mind but if that car doesn’t make you feel happy to be in it work and buy the one that will expensive ass bullshit not included more money and more problems    ,0,motivation,ass,3
blue tit              USERID  USERID  USERID  USERID URL ,0,love,tit,1
click amp read kickyourass punk rock  URL     ,0,motivation,ass,3
couples please remember the 5x5 rule if your 5min argument isnt going to mean shit in 5 yearslet it  USERID go       ,0,love,shit,7
"damn i look good 

 acacia aviators 
gorgeouslyjojo 

vontelle      USERID               URL ",0,love,damn,2
"dear you 
it’s monday and it’s wearing me down already i’m so sad  and this quote is what i feel every damn night 

dearyou   to my ex
9365 URL ",0,love,damn,2
death here means being put in hell solely as a choice of not allowing christ to take the sins weve committed here on earth because no amount of sin will be allowed          URL ,0,love,hell,2
"ding dong the pope is dead

popebenedictxvi     USERID ",0,yay,dong,1
"dinner preppedshit picked uppiss taken
medication time
try to empty the head into the valium of telly
winthelottery            URL ",0,love,shit,7
"do you give a damn  
 
shiba inu head has been purchased for matic 04 usd 032 
 
        USERID   
URL ",0,love,damn,2
"does goes with using song    

ovenus    

hell love venus

lisatomnovatom  USERID  USERID 

URL ",0,love,hell,2
"dont allow others to take the credit for your success  that shit is on you  own it 

thursdaythoughts  ",0,motivation,shit,7
dont let shit stop you from gettin yo blessings if they get in yo way then run em the fuck over like the punter tryna tackle derrick henry in the hamburger drill         USERID  USERID URL ,0,motivation,shit,7
dont spend 2023 repeating the same shit amp making the same mistakes make 2023 count      ,0,motivation,shit,7
"dont waste too much time thinking about it this week 
just get at it whatever the fuck it is
you feel me 

streamer             URL ",0,motivation,fuck,7
dont waste your 20s drinking and partying its a damn shame    URL ,0,motivation,damn,2
don’t fck up    URL ,0,motivation,f*ck,7
"easy reading is damn hard writing

s       URL ",0,motivation,damn,2
"enjoy a ratfree christmas 

visit nicola yeagers amazon author page right damn now

URL

       URL ",0,fun,damn,2
"even in the imperfection there’s still perfection 

learning everyday to give myself grace and breathe 

since pressure makes diamonds i’m one hell of a rock 

confidence          URL ",0,motivation,hell,2
every evening just about half past seven i pop into the garden and un screw the top of a great big kilmer jar and put the sun into it it only just fits but it keeps it fresh to be used again tomorrow      URL ,0,love,screw,1
every man is a damn fool for at least five minutes every day wisdom consists in not exceeding the limit  elbert hubbard   ,0,motivation,damn,2
every sm platform every bestselling book is bloody full of selfhelp and motivation tips when did humans become this piece of shit     ,0,motivation,shit,7
"everyone isn’t proud of you they just surprised you keep making shit happen
quote        ",0,motivation,shit,7
"everything we knew and need to know about the new speaker  USERID truth means nothing  USERID honesty means nothing  USERID integrity means nothing making shit up is the only talent
    ‍resistance    URL ",0,motivation,shit,7
"everything you can imagine is real either you keep on imagine or put your ass to make it real 

kcberquote alquotes   ",0,motivation,ass,3
facts on facts this shit great to see  USERID  URL ,0,motivation,shit,7
fck modernity     URL ,0,motivation,f*ck,7
"fck your motivation
discipline is the game changer…







instafit     motivation            URL ",0,motivation,f*ck,7
"fight like hell its your fight its your win
winter  URL ",0,motivation,hell,2
"finishing up the first workout of the year with a posedown starting 2023 one wild ass rollercoaster struggling through all those hardtimes but finishing strong 🤞

newyear     URL ",0,motivation,ass,3
"fk fear

URL 
art            USERID          URL ",0,love,f**k,7
"fkin tired 






fitnessmodel         URL ",0,motivation,gay,1
"flower of passion v20


love  oftheday                 oftheday    URL ",0,motivation,gay,1
fuck negativity focus on the good    ,0,motivation,fuck,7
fuck what they saidyou were great this week  URL ,0,motivation,fuck,7
fucked up by 19202122 eve  newyear                      URL ,0,love,fucked up,6
"gender queer author doubles down on extremely graphic images of sex acts says it could have been worse 

URL

               USERID  USERID  USERID   URL ",0,love,queer,1
"get your lazy ass up 
al   ",0,motivation,ass,3
"girl      

fuck the world im going to the gym
URL ",0,motivation,fuck,7
"gm mfers

get up show up shit will workout

moneynosleep   ",0,motivation,shit,7
good morning everyone hope y’all have a great day and crush ur goals and let’s make 2023 our bitch remember eat meat and lift heavy shit🥓🥩 ness         URL ,0,motivation,bitch,1
good morning lets kick todays ass                         URL ,0,motivation,ass,3
good morning lets kick todays assmorning   vibes                     URL ,0,motivation,ass,3
"good morning mosherz

i want you all to realize how strong you are you went through hell and you’re still here continuing to fight keep fighting my friends 

i love you mosherz 

welcome to day 3 of this  USERID  URL ",0,motivation,hell,2
good thursday morning from rainy socal week is almost done so let’s get through it together started today with 10 pushups and situps a  second plank and then leg day aka squat a shit ton have a great day everyone   URL ,0,motivation,shit,7
"goodnight  dream about kicking some ass and taking some names in 2023 
newyear   ",0,motivation,ass,3
got up at 3 but gym opens at 5  damn    ,0,motivation,damn,2
"happiness is a state of mind not the meaning of life

book fck feelings  author michael bennett

michaelbennett                URL ",0,motivation,f*ck,7
"happy new year 2023 

it‘s day 3365

did you win the first 3 days 

if yes  great if no  move your ass now

success is built on the small steps you take every single day

success         ",0,motivation,ass,3
heartbreak and doubters are the best motivators  went through hell and back with many things health and relationships people telling me i can’t do it fuck that by the end of 2023 there will a new me a changed me   USERID    ,0,motivation,hell,2
"hell bad heaven good

URL

god bless

heaven                         ",0,love,hell,2
hey  USERID dallascowboys this glaring embarrassment of a game better be the motivation going into tampa    USERID   USERID   USERID  USERID  USERID  USERID  USERID  USERID  USERID ,0,motivation,fuck,7
hi im jimmy saville the world renowned pedophile and elon musk is big ass   ,0,love,ass,3
"hold up what do you think about this start an elearning service and rent consulting to european gay people well 

    ",0,motivation,gay,1
hollywood motels hell i think im just obsessed with youxtentacion  ,0,love,hell,2
"how andrew tate saved my life from hell

freetopg     URL ",0,motivation,hell,2
how could you look me in my eyes like dat amp comfortable live a damn lie acting    was not da reason why but know da truth deep inside da  moving on amp you gone miss your    URL ,0,love,damn,2
"how did she think that shit URL
that was really amazing           travels        have so much fun amp adventure ",0,love,shit,7
"how do i know i am different from all my close friends and family

i started a podcast in 2021 
i started a business in 2022 

most people might leave these ideas be ideas that scares the shit out of me 

success        ",0,motivation,shit,7
"how to level up your character and stop being a btch

andrewtate   URL ",0,motivation,b*tch,1
"hows it hangin 5ers⁉

hope youre off to a good start in 2023 if not get off your ass and get going

richpiana           URL ",0,motivation,ass,3
"htfo is dope hoe 
 URL

URL

music                         URL ",0,love,hoe,1
i ain’t crying over no hoe all 2023 big gloss not the little one   USERID   cutie              URL ,0,love,hoe,1
"i don’t give a damn i never have who can afford to buy damns these days amp then just give them away

quotesdaily       USERID         ",0,love,damn,2
i finished watching this amazing film called elephant 2003 very good characters sad my favorite character was the first person 2 get shot lt movie is about 2 gay school shooters they kiss in the shower  ,0,yay,gay,1
i guess all that matters is that their in love and to hell with the dead giraffe they just  together i cant imagine what the eff are they thinking URL ,0,love,hell,2
i know how it feel to not have shit … dont quit stay patient and keep believing god  ,0,motivation,shit,7
i legit just had one of my close friends tell me that i’m doing jack shit with my life man i know this year gonna be great   ,0,motivation,shit,7
"i love being hung over and still drunk facetimeing people talking shit 
happynewyear    ",0,motivation,shit,7
"i remember being broke and buying 10 dollars worth of canned sardines 

“if we ever end up eating these  were fucked” me and tristan joked 

9 months later we opened our first canned and burst out laughing 

broke or rich 
we’re happy

success   URL ",0,motivation,fucked up,6
"i see people hustling in countries where shit cant get done so dont give me no bs story about how you cant work an extra 4hours after work gtf out here mfer with that bs

moneynosleep  ",0,motivation,shit,7
i used to be depressed once upon a time the depression ”magicly” ended when i put in the effort got my shit toghether and faced my insecurities and traumas  USERID     URL ,0,motivation,shit,7
if at first you dont succeed try try again then quit theres no use being a damn fool about it  USERID  USERID     URL ,0,motivation,damn,2
if i don’t get to the gym today i’m gay and my family dies  ,0,motivation,gay,1
"if you are going through hell 
keep going

christianoronaldo monday  URL ",0,motivation,hell,2
"if you don’t have hustle and passion to grind your ass off all those selfhelp books and tony robbins classes ain’t gonna work 
varisutrailer       USERID      ",0,motivation,ass,3
"if you make much to do about nothing you may end up on the crapper with nobody to shit on

poetrylovers toliveby    USERID  oftheday    USERID      ",0,love,shit,7
"if you still holding gg

if you sold ya mama a hoe

openthecasino    URL ",0,love,hoe,1
"if youre going
through hell
keep going

 winston churchill

starwars   URL ",0,motivation,hell,2
"if youre going through hell keep going
  USERID  USERID  USERID  USERID  USERID  USERID  USERID  USERID  USERID  USERID  USERID  USERID  USERID  USERID  USERID  USERID  USERID  USERID  winston churchill

fridaymotivation
quotes   ",0,love,hell,2
"if you’re going through hell keep going

why would you stop in hell 

keepgrinding     ",0,motivation,hell,2
if you’re going through hell keep going winston churchill  USERID  USERID  USERID  USERID    URL ,0,motivation,hell,2
if you’re not a risk taker you should get the hell out of business  USERID –ray kroc     ,0,motivation,hell,2
"im not always motivated to go to the gym but if you do things when you dont feel like it you will never make it

stop being a bitch and just go

consistency over motivation 
gym   URL ",0,motivation,bitch,1
im selfish impatient and a little insecure i make mistakes i am out of control and at times hard to handle but if you cant handle me at my worst then you sure as hell dont deserve me at my best  marilyn monroe   ,0,motivation,hell,2
"image to hell with the hustle 


🫶
motivation           USERID     USERID  URL ",0,motivation,hell,2
image to hell with the hustle            URL ,0,motivation,hell,2
image to hell with the hustle  URL ,0,motivation,hell,2
"in the movie draculauntold he mentions sometimes it takes a monster to defeat a monster

these words are ever so true

because when life hands you demons just squeeze the hell out of them until they bleed nobody is just going to hand you a bag of blood  ",0,motivation,hell,2
ingay ng mga motor sa labas fuck what do i deserve this upcoming year  ,0,motivation,fuck,7
"inspiration to play day 7  USERID be glad of life because it gives you the chance to love and to work and to play and to look up at the stars  henry van dyke

inspiration   s         URL ",0,motivation,dyke,1
instead we get more and more isolated in our projections of self and others and we forget something so damn basic…  is the answer 1111 ,0,love,damn,2
"is your arse on fire what makes you tick
motivation                quotes    URL ",0,love,arse,3
issa da damn queen of blackness rae 🥲 you are the goat just watched insecure the end and a sista in here all watered eyed you are the culture lady godspeed    USERID    ,0,love,damn,2
it sometimes feels like the workplace is immune from social upheaval we go to work and do the best   roxane gay   USERID s sandsayings      URL ,0,motivation,gay,1
"its damn true 
conormcgregor motivation 
tweetoftheday  URL ",0,motivation,damn,2
"it’s a “bitch just have fun” era 

newyear2023    ista       ",0,fun,bitch,1
it’s always a thick ass mami that keep me in the gym a extra 20 mins getting this money   ,0,motivation,ass,3
"it’s hard to save money when you’re broke because you’re unhappy and depressed 

so you spend money on dumb shit to feel a little better 

ironically when you have tons of cash it’s super easy to not spend it 

because you feel free
freetopg    ",0,motivation,shit,7
"it’s time to say fuck yes i will win   

check out manipheste motivational content on spotify youtube amp all podcast platforms 

URL

URL URL ",0,motivation,fuck,7
ive been to hell and back but i stayed strong and persevered          URL URL ,0,love,hell,2
i’m actually sitting my ass down today and getting these stories and stuff out of my head for years i’ve been saying i was going to write a book or two so here we go…   ,0,excited,ass,3
i’m in class for a lot of shit and it’s hard…but my black ass gonna do it my family ain’t raise no punk    ,0,motivation,ass,3
i’m so damn happy starting the year in the medium i love the most theater after that the world  begins wish all teamtoddsters this special joy do what you  only ,0,love,damn,2
"join me in 2023 for inspiration support and one hell of a lot of motivation



URL

newyear               ",0,motivation,hell,2
just bought these from pokemon center soo damn excited   URL ,0,excited,damn,2
"just came up with an idea –  USERID develop a wholesale social network for gay people that are into storeing driving cadillacs and lease xboxes to rwandan gays hopelessly in love with playing civilization how could it be better 

    ",0,motivation,gay,1
just do the damn thing how to sit your  USERID down long enough to exert willpower develop self discipline stop procrastinating increase productivity amp get sht done     URL ,0,motivation,damn,2
just got off from a 16 hour shift new pack was waitin for me lets get the fck to work‼ 🦍 time     URL ,0,motivation,f*ck,7
"just remember that all the shit someone puts you through sooner or later finds its way back to them
from  USERID    URL ",0,motivation,shit,7
"last year on this day i was 205lbs i felt like shit mental health all over the place left my job worked on me 

today i weighed in at 165lbs and feeling better than i have in 5 years year 35 finna be a banger  URL ",0,motivation,shit,7
